WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
WP1-Essential operations Diversity in Perpetuity (Essential operations),OUTCOME,"1.1. Diverse users accessing satisfactorily disease-free, viable, documented germplasm","Diverse users accessing satisfactorily disease-free, viable, documented germplasm",Uptake of information product,International Center for Agricultural Research in the Dry Areas,,"private company, non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution, consumer/public, intergovernmental organization ","change in knowledge, change in behavior/practice",Yes,,,,global,,,Percentage of satisfied surveyed users. ,Other quantitative measure of CGIAR innovation use (e.g. area),Percent,Genebank users,User surveys,Ongoing,global,,,80,09/04/2022,"80
 80","31/12/2023
 31/12/2024",INIT-03 - Genebanks.xlsx,,,20
WP1-Essential operations Diversity in Perpetuity (Essential operations),OUTCOME,"1.1. Diverse users accessing satisfactorily disease-free, viable, documented germplasm","Diverse users accessing satisfactorily disease-free, viable, documented germplasm",Uptake of information product,International Center for Agricultural Research in the Dry Areas,,"private company, non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution, consumer/public, intergovernmental organization ","change in knowledge, change in behavior/practice",Yes,,,,global,,,Number of external user requests annually met by CGIAR genebanks,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Annual reports on collection status gathered by Crop Trust/CGIAR,Online reporting tool,Ongoing,global,,,1000,02/01/2020,"750
 750","31/12/2023
 31/12/2024",INIT-03 - Genebanks.xlsx,,,0
WP2-Futureproofing Futureproofing collections and exchange (Futureproofing),OUTCOME,2.1. CGIAR genebanks managing collections with increased efficiency ,CGIAR genebanks managing collections with increased efficiency ,Capacity,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,research institution,change in skills,Yes,,,,global,,,Number of clonal accessions in vitro/field reduced as a result of cryobanking ,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Annual reports,Annual reports,Annual,global,,,52344,01/01/2022,50000,31/12/2024,INIT-03 - Genebanks.xlsx,,,10
WP2-Futureproofing Futureproofing collections and exchange (Futureproofing),OUTCOME,2.1. CGIAR genebanks managing collections with increased efficiency ,CGIAR genebanks managing collections with increased efficiency ,Capacity,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,research institution,change in skills,Yes,,,,global,,,Percentage of total collection viability tested per annum, ,Percent,Annual reports,Annual reports,Annual,global,,,11,01/01/2022,9,31/12/2024,INIT-03 - Genebanks.xlsx,,,-1
WP4-Global system Strengthening the Global System (Global system),OUTCOME,4.1. National programs conserve germplasm and generate valuable accession level information with enhanced capacity,National programs conserve germplasm and generate valuable accession level information with enhanced capacity,Capacity,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,research institution,change in skills,Yes,,,,global,,,Number of countries with increased capacity ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,"Surveys of trainees, Genebanks Initiative reports, Genesys",Training surveys,Annual,global,,,0,16/06/2022,20,31/12/2024,INIT-03 - Genebanks.xlsx,,,9
WP4-Global system Strengthening the Global System (Global system),OUTCOME,"4.2. Key partners implement, operate and exchange germplasm under the Plant Treaty, Nagoya Protocol, and International Plant Protection Convention (IPPC) with increased capacity","Key partners implement, operate and exchange germplasm under the Plant Treaty, Nagoya Protocol, and International Plant Protection Convention (IPPC) with increased capacity",Capacity,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,research institution,change in skills,Yes,,,,global,,,Number of key partners adopting operational procedures ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Partners,"Reports, surveys",Annual,global,,,0,16/06/2022,20,31/12/2024,INIT-03 - Genebanks.xlsx,,,8
Work Package 1 Understanding and influencing consumer behavior  ,OUTCOME,"Outcome 1.1: Change in knowledge of the context- and population-specific dietary patterns, barriers to F&V intake and options for addressing those barriers","Change in knowledge of the context- and population-specific dietary patterns, barriers to F&V intake and options for addressing those barriers",Other,,,,,Yes,,,,country,"Sri Lanka, Benin, Tanzania, United Republic, Philippines",,"Change in knowledge of the context- and population-specific dietary patterns, barriers to F&V intake and options for addressing those barriers",% change in knowledge and awareness,Percentage,Stakeholders,survey,End of Initiative,country,,,0,02/04/2022,25,02/04/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,7
Work Package 1 Understanding and influencing consumer behavior  ,OUTCOME,Outcome 1.2: Scaling partners support (through investment or other support) the scaling of selected innovations/interventions,Scaling partners support (through investment or other support) the scaling of selected innovations/interventions,Uptake of information product,,,,,Yes,,,,country,"Sri Lanka, Tanzania, United Republic, Philippines, Benin",,"# of programs, policies, production plans that mention knowledge products generated through this Initiative","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Stakeholders and documents,Survey and review of documents,End of Initiative,country,,,0,31/03/2022,4,30/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,1
Work Package 1 Understanding and influencing consumer behavior  ,OUTCOME,Outcome 1.3: National or sub-national governments invest in behavioral change innovations/interventions or integrate them into ongoing programs,National or sub-national governments invest in behavioral change innovations/interventions or integrate them into ongoing programs,Other,,,,,Yes,,,,global,,,# of governments (national or sub-national) investing,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Project reports,Annual reporting,End of Initiative,country,,,0,31/03/2022,2,30/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,-1
Work Package 1 Understanding and influencing consumer behavior  ,OUTCOME,Outcome 1.4: Academic partners express interest in collaborating on evaluating the selected innovation(s)/intervention(s),Academic partners express interest in collaborating on evaluating the selected innovation(s)/intervention(s),Capacity,,,,,Yes,,,,global,,,# academic partners,# academic partners,Number,Project reports,Annual reporting,End of Initiative,global,,,0,31/03/2022,4,30/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,-1
"Work Package 2 Biodiversity, genetic innovation and seed systems ",OUTCOME,Outcome 2.1: Vegetable genebanks are better able to serve current and future needs of breeding programs,Vegetable genebanks are better able to serve current and future needs of breeding programs. ,Capacity,,,,,Yes,,,,country,"Tanzania, United Republic, Sri Lanka, Benin, Philippines",,% of safety duplicated and available accessions,% of safety duplicated and available accessions,# of seed companies in focus countries,WorldVeg genebank,Annual reporting,Annual,global,,,68,01/04/2022,90,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,-1
"Work Package 2 Biodiversity, genetic innovation and seed systems ",OUTCOME,"Outcome 2.2: Seed companies use improved lines, cultivars, and hybrids","Seed companies use improved lines, cultivars, and hybrids",Uptake of information product,,,,,Yes,,,,global,,,# of seed companies,# of seed companies (in focus countries),Number,Seed companies,Survey,Annual,global,,,0,01/04/2022,12,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,2
"Work Package 2 Biodiversity, genetic innovation and seed systems ",OUTCOME,Outcome 2.3: Seed companies are better able to scale cultivars,Seed companies are better able to scale cultivars,Capacity,,,,,Yes,,,,global,,,# of seed companies that confirmed strengthened capacity,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Seed companies,Survey,End of initiative,global,,,0,02/04/2022,3,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,2
Work Package 3 Safe and sustainable production systems ,OUTCOME,"Outcome 3.1: Safe & sustainable vegetable production expanded temporally and spatially

",Safe & sustainable vegetable production expanded temporally and spatially,Capacity,,,,,Yes,,,,country,"Benin, Philippines, Tanzania, United Republic, Sri Lanka",,# technology packages,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Project reports,Annual reporting ,End of initiative,global,,,0,01/04/2022,16,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,8
Work Package 3 Safe and sustainable production systems ,OUTCOME,"Outcome 3.2: Increased farm profit & greater resilience to changing climates due to adoption of new technologies

",Increased farm profit & greater resilience to changing climates due to adoption of new technologies,Innovation,,,,,Yes,,,,country,"Philippines, Benin, Sri Lanka, Tanzania, United Republic",,# of farmers,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Numbers,Project reports,Annual reporting,End of initiative,country,,,0,01/04/2022,10000,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,14
Work Package 3 Safe and sustainable production systems ,OUTCOME,"Outcome 3.3: Production technologies, quality inputs and farming services made accessible and affordable","Production technologies, quality inputs and farming services made accessible and affordable",Innovation,,,,,Yes,,,,country,"Philippines, Benin, Tanzania, United Republic, Sri Lanka",,# of farmers,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Project reports,Annual reporting,End of Initiative,global,,,0,01/04/2022,10000,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,14
Work Package 3 Safe and sustainable production systems ,OUTCOME,Outcome 3.4: Increased availability of safer and diverse vegetables round  the year,Increased availability of safer and diverse vegetables round  the year,Innovation,,,,,Yes,,,,country,"Philippines, Benin, Sri Lanka, Tanzania, United Republic",,"# fruit and/or vegetable varieties, as part of a healthy diet, produced year round",Other quantitative measure of CGIAR innovation use (e.g. area),"# fruit and/or vegetable varieties, as part of a healthy diet, produced year round",Project reports,Annual reporting,End of Initiative,country,,,0,02/04/2022,4,02/04/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,-1
Work Package 4 Post-harvest and inclusive markets ,OUTCOME,"Outcome 4.1: Value chain actors, particularly women and youth, gain better access to innovations in F&V value chains

","Value chain actors, particularly women and youth, gain better access to innovations in F&V value chains",Uptake of information product,,,,,Yes,,,,country,"Sri Lanka, Benin, Philippines, Tanzania, United Republic",,# of value chain actors ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Value chain actors,Survey among people trained,End of Initiative,country,,,0,01/04/2022,1200,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,21
Work Package 5 Food environments ,OUTCOME,Outcome 5.1: Increased awareness among key stakeholders of food environment characteristics and options for addressing accessibility constraints across contexts and population groups,Increased awareness among key stakeholders of food environment characteristics and options for addressing accessibility constraints across contexts and population groups,Capacity,,,,,Yes,,,,country,"Philippines, Sri Lanka, Tanzania, United Republic, Benin",,Increased awareness among key stakeholders of food environment characteristics and options for addressing accessibility constraints across contexts and population groups,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percentage,Stakeholders,Surveys and process tracing,Annual,global,,,0,01/04/2022,25,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,7
Work Package 5 Food environments ,OUTCOME,Outcome 5.2: Partners support the implementation and evaluation of programs addressing Food Environment constraints through public and private innovations across contexts and population groups,Partners support the implementation and evaluation of programs addressing Food Environment constraints through public and private innovations across contexts and population groups,Other,,,,,Yes,,,,country,"Tanzania, United Republic, Benin, Sri Lanka, Philippines",,Partners support the implementation and evaluation of programs addressing Food Environment constraints through public and private innovations across contexts and population groups,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Project reports,End of initiative,End of initiative,country,,,0,01/04/2022,1,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,7
Work Package 6 Strengthening the enabling environment ,OUTCOME,Outcome 6.1: Increase in knowledge and capacity to consider F&Vs in policies and programs,Policy makers and program implementers have an increase in knowledge and capacity to consider F&Vs in policies and programs,Other,,,,,Yes,,,,country,"Philippines, Benin, Sri Lanka, Tanzania, United Republic",,Increase in knowledge and attitudes as well as in capacity to consider F&Vs in policies and programs,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percentage,Key change agents,Surveys and process training,End of initiative,country,,,0,01/04/2022,25,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,12
Work Package 6 Strengthening the enabling environment ,OUTCOME,Outcome 6.2: Changes are enacted that enable greater production and consumption of fruit and vegetable,Changes are enacted that enable greater production and consumption of fruit and vegetable,Other,,,,,Yes,,,,country,"Philippines, Sri Lanka, Tanzania, United Republic, Benin",,"Decision-makers explicitly consider F&V (policy, R&D)","Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,"Documents, Decision-makers",Document review and interviews with decision making,End of initiative,global,,,0,02/04/2022,4,31/03/2025,INIT-33 - Fruit and Vegetables for Sustainable Healthy Diets.xlsx,,,12
"Work Package 1 Megatrends affecting food, land, and water systems at global and regional scales (WP1)",OUTCOME,1.1 Global and regional partners have access to foresight analysis to inform their decision-making on policies and investments ,"Global and regional partners have access to foresight analysis to inform their decision-making on policies and investments to accelerate food, land, and water systems transformation in ways that improve nutrition, livelihoods, inclusion, climate adaptation and mitigation, and environmental outcomes.",Innovation,,,,,Yes,,,,global,,,"Number of partners in regional and international organizations, donors, multilateral and development banks accessing our web portal and using our modelling tools","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Document review; stakeholder interviews ,Year 1 and year 3,global,,,0,31/03/2023,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,-1
"Work Package 1 Megatrends affecting food, land, and water systems at global and regional scales (WP1)",OUTCOME,1.2 Global and regional partners develop a shared situational awareness regarding policy challenges and priorities,"Global and regional partners develop a shared situational awareness regarding policy challenges and priorities, recognizing the spatial and temporal heterogeneity associated with the impact of major drivers on development outcomes.",Capacity,,,,,Yes,,,,global,,,Change in the capacity of key individuals and partner organizations (target is referring to # of partners),"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Document review; stakeholder interviews ,Year 1 and year 3 ,global,,,0,31/03/2023,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,-1
Work Package 2 Addressing regional and national challenges and priorities (WP2),OUTCOME,2.1 Research partners contribute to developing Climate Integrated Assessment Models (CIAMs),"Research partners in focus countries contribute to developing Climate Integrated Assessment Models (CIAMs) and use them to analyze megatrends and climate risks affecting  food, land, and water systems transformation, and to provide actionable recommendations that minimize trade-offs and maximize synergies across competing goals. ",Innovation,,,,,Yes,,,,global,,,"Number of national partners contributing to, accessing and using our tools of analysis ","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Document review; stakeholder interviews ,Year 1 and year 3,regional,,,0,31/03/2022,6,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,-1
Work Package 2 Addressing regional and national challenges and priorities (WP2),OUTCOME,2.2 Government partners use foresight analysis to inform policy,"Government partners in focus countries use foresight analysis of  food, land, and water (FLW) systems drivers, including climate risks, to inform policy debates and enhance decision-making, leading to policies/investments, such as national development and adaptation plans, that encourage FLW systems transformations that are more resilient, sustainable, and inclusive. ",Innovation,,,,,Yes,,,,global,,,"Number of partners in national governments contributing to and using foresight information,  disaggregated by gender","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Policy/document review; stakeholder interviews  ,Year 1 and year 3,regional,,,0,31/03/2022,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,27
"Work Package 3 Enhancing access, transparency and use of tools, data, and metrics (WP3)",OUTCOME,3.1 Partners have access to advanced foresight tools and systems-level metrics ,"Global, regional, and national partners contribute to and have access to advanced foresight tools and systems-level metrics that identify major drivers of and impacts on food, land, and water systems at global, regional, and national scales under alternative future scenarios.  ",Innovation,,,,,Yes,,,,global,,,"Number of partners in national governments, regional and international organizations, donors, multilateral and development banks contributing to and using foresight information,  disaggregated by gender ","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Policy/document review; stakeholder interviews  ,Year 1 and year 3,global,,,0,31/03/2023,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,27
"Work Package 3 Enhancing access, transparency and use of tools, data, and metrics (WP3)",OUTCOME,"3.2 Partners use foresight tools and metrics to diagnose challenges, set priorities, manage risks, track progress, and inform decision-making ","Global, regional, and national partners use foresight tools and metrics to diagnose challenges, set priorities, manage risks, track progress, and inform decision-making to transform food, land, and water systems in ways that improve nutrition, livelihoods, inclusion, climate adaptation and mitigation, and environmental outcomes",Innovation,,,,,Yes,,,,global,,,"Number of partners in national governments, regional and international organizations, donors, multilateral and development banks using foresight information,  disaggregated by gender","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Policy/document review; stakeholder interviews  ,Year 1 and year 3,global,,,0,31/03/2023,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,27
Work Package 4 Enhancing foresight skills and making learning actionable (WP4),OUTCOME,4.1 Partners can use foresight tools and metrics themselves ,"Global, regional, and national partners can use foresight tools and metrics themselves to diagnose challenges, set priorities, manage risks, track progress, and make more informed policy and investment recommendations affecting  food, land, and water (FLW) systems.",Capacity,,,,,Yes,,,,global,,,Number of people using our tools for their analysis and new studies generated,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Policy/document review; stakeholder interviews  ,Year 1 and year 3,country,,,0,31/03/2023,25,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,9
Work Package 4 Enhancing foresight skills and making learning actionable (WP4),OUTCOME,4.2 National partners are informed consumers of foresight analysis,"National partners in focus countries, and other partners inside and beyond CGIAR, are informed consumers of foresight analysis and can use it more effectively to inform strategic planning, decision-making processes, and impact assessments.",Capacity,,,,,Yes,,,,global,,,Change in the capacity of partner organizations  (target is referring to # of  partners),"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Policy/document review; stakeholder interviews  ,Year 1 and year 3,global,,,0,31/03/2022,5,31/12/2024,"INIT-24 - Foresight and Metrics to Accelerate Food, Land, and Water Systems Transformation (1).xlsx",,,-1
,OUTCOME,1.1. Environmental health and Biodiversity Community of Practice convenes around shared vision and related roadmap," Environmental health and Biodiversity Community of Practice (CoP) convenes around shared vision and related roadmap to address thematic areas, regional priority challenges and environmental risks through  collaboration and cooperation",Other,,,,,No,"Global research priorities established based on well-defined benchmarks, including a risk management plan",,Global research priorities and risk management plan disaggregated by CGIAR regions ,global,,,"Number of initiatives and bilateral projects tagged to environment health and biodiversity as ""significant"" or ""principal""",Number of projects or initiatives,Number,"Reports, minutes, repositories","Review of Reports, minutes, repositories",Annual,global,,,0,02/01/2023,6,01/01/2025,PLAT-03 - Environment and Biodiversity Impact Area Platform.xlsx,Function 1 Design a roadmap,,15
,OUTCOME,2.1 CGIAR and close partners apply common environmental health and biodiversity assessment tools ,"CGIAR Centers and close partners apply common tools, metrics, indicators and assessment frameworks to assess the state of environmental health and biodiversity and the performance of innovations. ",Uptake of information product,,,,,No,A set of common metrics for environmental health and biodiversity established based on global benchmarks,,"A set of common metrics, indicators, and assessment frameworks for environmental health and biodiversity established based on global benchmarks",global,,,At least two common tools relevant for biodiversity and environmental health are used across CGIAR Centers,Common tools in place,Number,Reports,Review of reports,annual,global,,,0,02/01/2023,2,01/01/2025,PLAT-03 - Environment and Biodiversity Impact Area Platform.xlsx,"Function 2 Increase capacities: Tools, methods, and skills",,0
,OUTCOME,3.1 Partners seek CGIAR expertise and innovations in biodiversity and ecosystem services ,"Partners seek CGIAR expertise and innovations in support of their capacity and policy needs to maintain, enhance and restore biodiversity and ecosystem services",Other,,,,,Yes,,One strategic partner of global significance per year,"One strategic partner of regional and global significance, respectively, per year",global,,,"Number of CGIAR novel innovations and knowledge products used by development partners to maintain, enhance, and restore biodiversity, and ecosystem services","Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Reports,Review of Reports,Annual,global,,,0,02/01/2023,2,01/01/2025,PLAT-03 - Environment and Biodiversity Impact Area Platform.xlsx,Function 3 Engage for impacts,,0
,OUTCOME,4.1. CGIAR research priorities for environmental health and biodiversity are informed by Impact Area trade-off and synergy assessments,"CGIAR research priorities for environmental health and biodiversity are informed by the known 'co-benefits' across CGIAR Impact Areas, which have been determined through synergy and trade-off assessments",Other,,,research institution,,Yes,,One co-benefit assessment of environmental health and biodiversity interventions per year,Two co-benefit assessments of environmental health and biodiversity interventions per year,global,,,At least one recommendation of the Platform is integrated into CGIAR financing campaigns each year,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Reports,Review of reports,Annual,global,,,0,02/01/2023,2,01/01/2025,PLAT-03 - Environment and Biodiversity Impact Area Platform.xlsx,Function 4 Rethink research-priorities,,0
"Work Package 3 PERFORMANCE MANAGEMENT OF CONSISTENT, CONNECTED OPERATIONS",OUTCOME,3.1 CGIAR and NARES breeding teams access technologies and tools for shared services,CGIAR and NARES breeding teams access technologies and tools for shared services,Capacity,,,,,Yes,,,,global,,,Number of breeding organizations accessing CGIAR innovations disaggregated by organization type,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Survey,,,global,,,0,04/06/2022,"7
 14","31/12/2023
 31/12/2024",INIT-04 - Breeding Resources.xlsx,,,0
Work Package 4 SMARTER USE OF MORE DATA,OUTCOME,4.1 CGIAR and NARES breeding teams have access to comprehensive and organized datasets to make routine data-driven improved decisions,CGIAR and NARES breeding teams have access to comprehensive and organized datasets to make routine data-driven improved decisions,Innovation,,,,,Yes,,,"
",global,,,Number  of data points stored in DMS,Other quantitative measure of CGIAR innovation use (e.g. area),Number,DMS,,,global,,,0,04/06/2022,"3000
 8000","31/12/2023
 31/12/2024",INIT-04 - Breeding Resources.xlsx,,,1
Work Package 4 SMARTER USE OF MORE DATA,OUTCOME,4.2 CGIAR and NARES breeding teams access and use data management system in breeding operations,CGIAR and NARES breeding teams access and use data management system in breeding operations,Uptake of information product,,,,,Yes,,,,global,,,Number of active users,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,DMS,,,global,,,0,04/06/2022,"150
 450","31/12/2023
 31/12/2024",INIT-04 - Breeding Resources.xlsx,,,20
Work Package 5 INNOVATION DEVELOPMENT AND RESEARCH EXCHANGE (Idare) ,OUTCOME, 5.1 CGIAR and NARES breeding teams using new technologies and services in their way of working, CGIAR and NARES breeding teams using new technologies and services in their way of working,Uptake of information product,,,,,Yes,,,,global,,,Number of breeding pipelines benefiting from our service,Other quantitative measure of CGIAR innovation use (e.g. area),Number,,,,global,,,0,30/06/2022,"100
 100
 100","31/12/2022
 31/12/2023
 31/12/2024",INIT-04 - Breeding Resources.xlsx,,,17
Work Package 1 Enabling Environment,OUTCOME,1.1. Data-driven policy and investment decisions,Policymakers and investors use the Initiative-generated data and evidence of digital innovation impacts to make policy and investment priorities and decisions.,Other,International Food Policy Research Institute,"National Institution for Transforming India, The World Bank, Agricultural Transformation Agency (Ethiopia), Ministry of Agriculture and Livestock Development (Kenya)","policymaker, intergovernmental organization ","change in knowledge, change in attitude, change in behavior/practice, Change in policy",Yes,,,,country,"Kenya, Ethiopia, India",,"The number of policies, strategies, laws, regulations, budgets, investments, or curricula modified in design or implementation informed by the Initiative's research on the potential impact of digital innovation.","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Policy documents and interviews,Review of the documents and interview transcripts,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-25 - Digital Innovation and Transformation.xlsx,,,0
Work Package 1 Enabling Environment,OUTCOME,1.2. Collaborative partnerships,Local digital innovators will strengthen their research and development capacities to provide more gender-responsive and socially inclusive services.,Capacity,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,"Mercy Corps, test 18 december, Grow Asia","private company, small and medium enterprises (SME), non-government organizations (NGO)","change in knowledge, change in skills, change in relationship",Yes,,,,country,"Rwanda, Kenya, Guatemala, India",,Change in the research and development capacity of key partnering organizations and networks from the Initiative-facilitated collaborative partnerships.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percent,Agreement documents,Review of the agreement documents,Annual,country,,,0,02/01/2022,5,01/01/2025,INIT-25 - Digital Innovation and Transformation.xlsx,,,-1
Work Package 2 Digital Inclusion,OUTCOME,2.1. Digitally-empowered women and youth,Digital capabilities of rural women and youth are enhanced and contribute to their empowerment to make informed decisions on managing risks and improving livelihoods.,Capacity,International Water Management Institute,"International Food Policy Research Institute, International Livestock Research Institute, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo","Farmers, Farmers’ associations, consumer/public","change in knowledge, change in skills, change in behavior/practice",Yes,,,,country,"Kenya, India, Guatemala, Rwanda, Ethiopia, Bangladesh",,The number of rural women and youth who are engaged and supported to enhance digital literacy and skills to manage climate and market risks.,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,"Survey responses, websites","Surveys, website statistics",Annual,country,,,0,02/01/2022,1000,01/01/2025,INIT-25 - Digital Innovation and Transformation.xlsx,,,-1
Work Package 2 Digital Inclusion,OUTCOME,2.2. Policy and investments for digital inclusion,"Policymakers, innovators, and investors set priority to reduce digital divides across food, land, and water systems.",Other,International Water Management Institute,"International Food Policy Research Institute, International Livestock Research Institute, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo","policymaker, government body",Change in policy,Yes,,,,country,"India, Ethiopia, Kenya, Guatemala, Rwanda",,"The number of policies, strategies, investments, and curricula modified in the design or implementation of digital inclusion, informed by CGIAR research.","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Interviewees,Interviews,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-25 - Digital Innovation and Transformation.xlsx,,,0
Work Package 2 Digital Inclusion,OUTCOME,2.3. Gender-responsive and socially-inclusive digital services,"Digital innovators improve their digital advisory services to be more gender-responsive and social-inclusive, leading to bridging digital divides.",Uptake of information product,International Water Management Institute,"International Rice Research Institute, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, International Food Policy Research Institute, International Livestock Research Institute","private company, small and medium enterprises (SME), Farmers’ associations","change in attitude, change in behavior/practice",Yes,,,,country,"Ethiopia, Kenya, Rwanda, Guatemala, India",,Changes in the digital capabilities of key partner organizations in local digital ecosystems.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Survey responses,Survey,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-25 - Digital Innovation and Transformation.xlsx,,,-1
